message,categorie
Urticaire généralisée et vertiges.,Allergie sévère
Enfant léthargique avec fièvre persistante.,Fièvre élevée chez enfant
"Crise d’asthme sévère, besoin d’aide.",Difficultés respiratoires
"Il est tombé sans prévenir, inconscient.",Évanouissement
Difficultés à parler et à bouger une jambe.,AVC présumé
Ma mère a la bouche de travers et parle bizarrement.,AVC présumé
Je n'arrive plus à reprendre mon souffle.,Difficultés respiratoires
Saignement abondant après blessure au bras.,Hémorragie
Saignement à la tête suite à une chute.,Traumatisme crânien
Respiration sifflante et rapide.,Difficultés respiratoires
Douleurs intenses dans le bas ventre.,Douleurs abdominales sévères
Tremblements et forte fièvre chez bébé de 10 mois.,Fièvre élevée chez enfant
Enfant léthargique avec fièvre persistante.,Fièvre élevée chez enfant
"Il est tombé sans prévenir, inconscient.",Évanouissement
Elle s'est évanouie en marchant dans la rue.,Évanouissement
"Coupure profonde, le sang ne s’arrête pas.",Hémorragie
Mal de ventre insupportable depuis ce matin.,Douleurs abdominales sévères
"Mon frère fait une crise, il tremble de tout son corps.",Convulsions
Mon bébé a 40°C de fièvre et convulse.,Fièvre élevée chez enfant
Mon père s'est effondré avec douleur à la poitrine.,Crise cardiaque
Difficultés à parler et à bouger une jambe.,AVC présumé
Perte soudaine de force dans le bras droit.,AVC présumé
"Mon collègue ne répond plus, il est au sol.",Évanouissement
Je sens une forte pression dans ma poitrine depuis 10 min.,Crise cardiaque
"Crise d’asthme sévère, besoin d’aide.",Difficultés respiratoires
Mon bébé a 40°C de fièvre et convulse.,Fièvre élevée chez enfant
Réaction allergique grave après piqûre d’abeille.,Allergie sévère
"Crise d’asthme sévère, besoin d’aide.",Difficultés respiratoires
"Mon collègue ne répond plus, il est au sol.",Évanouissement
Mon fils a des plaques rouges partout et ne respire plus bien.,Allergie sévère
Langue gonflée après avoir mangé des fruits de mer.,Allergie sévère
Perte de sang importante suite à un accident.,Hémorragie
Perte de sang importante suite à un accident.,Hémorragie
"Crise d’asthme sévère, besoin d’aide.",Difficultés respiratoires
Palpitations et douleurs dans la poitrine.,Crise cardiaque
Enfant léthargique avec fièvre persistante.,Fièvre élevée chez enfant
Gonflement du visage et respiration difficile.,Allergie sévère
Palpitations et douleurs dans la poitrine.,Crise cardiaque
Essoufflement soudain avec sueurs froides.,Crise cardiaque
Sensation d’étouffement après avoir couru.,Difficultés respiratoires
Tremblements incontrôlables chez un enfant fiévreux.,Convulsions
Perte soudaine de force dans le bras droit.,AVC présumé
Torsions abdominales depuis plusieurs heures.,Douleurs abdominales sévères
Langue gonflée après avoir mangé des fruits de mer.,Allergie sévère
Elle s'est évanouie en marchant dans la rue.,Évanouissement
Perte soudaine de force dans le bras droit.,AVC présumé
"Mon fils est tombé de l’escalier, il a perdu connaissance.",Traumatisme crânien
"Douleur thoracique intense, irradiation au bras gauche.",Crise cardiaque
Urticaire généralisée et vertiges.,Allergie sévère
Mon père s'est effondré avec douleur à la poitrine.,Crise cardiaque
"Douleur thoracique intense, irradiation au bras gauche.",Crise cardiaque
Mon frère vient de perdre connaissance sans raison.,Évanouissement
Mal de ventre insupportable depuis ce matin.,Douleurs abdominales sévères
Température très haute et vomissements chez mon enfant.,Fièvre élevée chez enfant
Torsions abdominales depuis plusieurs heures.,Douleurs abdominales sévères
Saignement abondant après blessure au bras.,Hémorragie
Tremblements incontrôlables chez un enfant fiévreux.,Convulsions
Langue gonflée après avoir mangé des fruits de mer.,Allergie sévère
Palpitations et douleurs dans la poitrine.,Crise cardiaque
Confusion et trouble de la vision soudain.,AVC présumé
Hémorragie nasale incontrôlable.,Hémorragie
Gonflement du visage et respiration difficile.,Allergie sévère
Confusion et trouble de la vision soudain.,AVC présumé
Tremblements incontrôlables chez un enfant fiévreux.,Convulsions
Mon bébé a 40°C de fièvre et convulse.,Fièvre élevée chez enfant
"Mon fils est tombé de l’escalier, il a perdu connaissance.",Traumatisme crânien
"Coupure profonde, le sang ne s’arrête pas.",Hémorragie
Torsions abdominales depuis plusieurs heures.,Douleurs abdominales sévères
